Depmap ID,Expression Public 23Q4,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000256,4.714245517666122,COV318,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000257,6.412781525338476,CORL279,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000258,5.106432077816929,DU4475,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000259,4.995032192477536,KELLY,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000260,4.381283372503783,SKNAS,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000261,3.710393192170516,RERFLCAI,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000262,5.911931212309049,UOK101,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000263,4.871350840634026,KASUMI1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000264,3.594548549550354,CALU6,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000265,1.584962500721156,KP4,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000266,5.61706334388818,SNU213,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000267,6.303780748177103,HDLM2,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000268,6.057233635042433,SNU245,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000269,4.286881147788161,AM38,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000270,3.619413010597937,HPAC,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000271,4.964398632203184,SUDHL10,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000272,5.136273429850582,SLR24,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000273,4.12350066435096,SF539,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000274,4.527946098908258,HS852T,Melanoma,Skin,Melanoma
ACH-000275,4.805292455600712,HS834T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000276,5.171126746652066,HCC38,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000277,4.237257770900372,HCC1419,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000278,5.944858445807539,COV362,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000279,6.713008391644148,EWS502,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000280,4.111865963867557,SNU840,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000281,5.283921772307617,KP2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000282,4.569855608330948,NCIH1755,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000283,5.661350569233997,A1207,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000284,4.471837762422287,HS840T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000285,3.8308637567517576,TOLEDO,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000286,5.666188489872781,SNU1033,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000287,7.23697088625934,NUDUL1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000288,7.026578770127714,BT549,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000289,5.357903838552492,SNU466,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000290,4.297925052503806,NCIH209,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000291,4.975446765640962,OV90,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000292,7.117591158238323,NCIH841,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000293,5.874305165982231,KLE,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000294,5.606738317417591,NB4,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000295,5.414135532984451,EM2,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000296,6.036942844798256,OUMS23,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000297,4.984589350362456,NCIH889,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000298,5.2645364309990255,NCIH2029,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000299,6.253611151947168,HNT34,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000300,2.929790997718597,SLR25,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000301,3.4449320489421824,LAMA84,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000302,5.110613805500896,SNU1077,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000303,4.662205499653616,SNU5,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000304,5.5576551547254205,WM115,Melanoma,Skin,Melanoma
ACH-000305,6.458611672584599,ECGI10,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000306,4.272769732436511,HS688AT,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000307,5.04745114041639,PK1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000308,7.012121672712217,EFO21,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000310,6.006073567261894,IMR32,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000311,5.108524456778169,NCIH2122,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000312,6.090853430451113,SKNBE2,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000313,5.4110872267986005,KMRC3,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000314,4.917909073852982,HCC2108,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000315,4.839455765224628,KARPAS422,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000316,1.7180875839605168,SNU886,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000317,4.990047219573794,TUHR14TKB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000318,4.898692072560488,TE10,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000319,2.169925001442312,MPP89,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000320,3.776103988073164,PSN1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000321,5.7311832415722,MOLM6,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000322,5.40667271575583,HT144,Melanoma,Skin,Melanoma
ACH-000323,5.016585460434449,42MGBA,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000324,5.023255352300303,JHOC5,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000325,6.03342300153745,SNU620,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000326,3.3305584000308026,JURLMK1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000327,3.065227622775619,NCIH1395,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000328,6.351380980674333,LN215,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000329,4.563158130402808,CCFSTTG1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000330,5.157447996274298,EFM19,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000331,5.234194722953812,ISTMES2,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000332,5.954196310386875,YAPC,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000333,5.668743189087904,JHOM2B,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000334,6.63734941083314,DB,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000335,4.898692072560488,MSTO211H,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000336,6.441450280216834,OCIAML3,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000337,5.28318097894557,NCIH3122,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000338,5.006298023900369,SR786,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms
ACH-000339,2.077242998932461,HCC461,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000340,4.287620044112067,HS870T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000341,5.779522386743769,SKNFI,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000342,5.624100894628114,CL14,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000343,1.967168607532628,NCIH522,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000344,4.607034345948616,SNU668,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000345,6.567575868524113,KPNRTBM1,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000346,6.340740280630179,JVM3,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000347,3.7495342676692616,QGP1,Pancreatic Neuroendocrine Tumor,Pancreas,Pancreatic Neuroendocrine Tumor
ACH-000348,3.517275693209581,RPMI7951,Melanoma,Skin,Melanoma
ACH-000349,5.507160349117523,HCC1500,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ
ACH-000350,5.691254978650136,COLO678,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000351,6.25001411501037,MKN1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000352,6.402074073516853,HCC1428,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000353,4.116863757690899,TE15,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000354,5.860217924745852,CAPAN1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000355,4.699884728697476,NCIH82,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000356,5.500164679492167,MKN45,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000357,3.63575439127776,JEKO1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000358,3.1391420191456887,NCIH69,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000359,2.3978029618624896,MG63,Osteosarcoma,Bone,Osteosarcoma
ACH-000360,5.321928094887363,NCIH508,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000361,5.674969030624974,SKHEP1,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000362,5.894575273175279,MOLM13,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000363,5.528571318870758,SKMM2,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000364,4.83035674741922,U2OS,Osteosarcoma,Bone,Osteosarcoma
ACH-000365,5.995936703504587,SUDHL4,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000366,6.944741339184569,SKNDZ,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000367,6.314877757368213,NCIH226,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000368,5.303415462685624,SNU1105,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000369,6.714795011118162,MOLM16,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000370,6.081723090644876,SNU626,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000371,5.419201773848765,RL,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000372,7.162894799374784,P12ICHIKAWA,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000373,5.909293085823824,SKM1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000374,7.269687748008274,HCC1143,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000375,5.679198570566922,G402,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000376,5.519164449806069,SF295,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000377,2.8011586560936985,SNU478,Ampullary Carcinoma,Ampulla of Vater,Ampullary Carcinoma
ACH-000378,5.569551851083613,NCIH647,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000379,6.861707286585856,NCIH1781,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000380,5.767389962065719,KMS12BM,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000381,3.189033824390017,T84,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000382,5.189429245809757,CORL24,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000383,4.761817142507141,OE33,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000384,5.583158003874408,SW780,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000385,5.665051614289214,SKRC52,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000386,3.321928094887362,KG1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000387,4.07724299893246,TF1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000388,6.264724074238009,NUDHL1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000389,5.622930350920177,H4,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000390,5.390942772802543,LUDLU1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000391,6.147713722352154,MHHES1,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000392,4.76659516172927,CALU3,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000393,5.318678373736547,HLF,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000394,3.1489341045263397,NCIH2081,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000395,3.298658315564515,NCIH520,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000396,4.346247774082776,J82,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000397,3.5096958419333872,TEN,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000398,5.789468436941201,RI1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000399,5.303050084681673,NCIH2196,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000400,5.644433152406245,SKCO1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000401,6.023920648618705,COLO800,Melanoma,Skin,Melanoma
ACH-000402,7.017253838968936,BL70,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000403,6.056366761024529,NCIH747,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000404,4.584962500721156,K029AX,Melanoma,Skin,Melanoma
ACH-000405,3.846994686965573,MEC1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000406,3.0268000593437154,U937,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000407,4.163498732282879,SNU685,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000408,4.936402377725063,TE5,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000409,3.4646682670034443,OVSAHO,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000410,5.090853430451113,SAOS2,Osteosarcoma,Bone,Osteosarcoma
ACH-000411,5.316145742293356,769P,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000412,4.807870078299782,SNU1197,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000413,5.491211756003092,HS739T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000414,4.460742563789644,NCIH1944,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000415,1.6735564239901446,BICR6,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000416,3.326249700837456,NCIH838,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000417,6.493615313577235,PANC0813,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000418,5.018367115543116,SW1353,Chondrosarcoma,Bone,Chondrosarcoma
ACH-000419,5.473462236235279,KMS28BM,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000420,5.4564776293518165,SNU449,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000421,6.022145842870176,SW837,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000422,5.803485375595953,SNU475,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000423,5.223036337901875,SKMEL3,Melanoma,Skin,Melanoma
ACH-000424,2.956056652412403,TC71,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000425,3.942983598187102,UACC62,Melanoma,Skin,Melanoma
ACH-000427,5.445594291341182,NCIN87,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000428,6.294804519994466,UO31,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000429,3.608809242675524,A704,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000430,4.821199978056451,TYKNU,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000431,6.587064898363171,NCIH1694,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000432,5.759688488427289,BV173,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000433,4.254745197629213,CAKI1,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000434,3.1127001327493624,NCIH1915,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000435,5.4276061727819,EFE184,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000436,4.715344295358907,OCIMY7,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000437,5.739578112048051,SW1088,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000438,5.147713722352154,LU65,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000439,3.3132458517875616,ME1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000440,6.606590280370527,CA46,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000441,4.100977647724821,SH4,Melanoma,Skin,Melanoma
ACH-000442,3.9467308601403097,RERFLCSQ1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000443,4.84197311892718,OVKATE,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000444,4.145677455195635,LU99,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000445,6.3471341137560975,KNS60,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000446,5.762614578754559,KPNSI9S,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000447,3.5285713188707577,NCIH2228,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000448,4.876271360550127,NCIH1666,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000449,6.161081482277184,MESSA,Uterine Sarcoma/Mesenchymal,Uterus,Uterine Sarcoma/Mesenchymal
ACH-000450,4.023255352300303,MELHO,Melanoma,Skin,Melanoma
ACH-000451,6.594249947657352,NCIH2085,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000452,5.8407149911410805,TE8,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000453,4.824258696603374,MOLP2,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000454,4.223422549934937,HCC95,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000455,5.586464525886388,LN428,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000456,6.104126950527225,BCPAP,Poorly Differentiated Thyroid Cancer,Thyroid,Poorly Differentiated Thyroid Cancer
ACH-000457,6.145269856650506,CAL54,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000458,5.1013979521825314,CJM,Melanoma,Skin,Melanoma
ACH-000459,5.115199749385445,TUHR10TKB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000460,2.6599245584023783,SNU8,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000461,7.222166982623451,SNU1196,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000462,6.775840698531255,NALM1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000463,4.7554217347342425,NCIH460,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000464,5.874796965898665,CAS1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000465,3.973611275519472,SKMEL1,Melanoma,Skin,Melanoma
ACH-000466,6.446917864866026,SNU216,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000467,5.705425039042727,HCC56,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000468,5.924575003392735,PK45H,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000469,4.759688488427289,YH13,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000470,5.298291730620124,SW1463,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000471,2.875780063068488,LI7,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000472,3.6205864104518777,HSC2,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000473,5.469560421711221,RT112,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000475,5.152183419055046,HUH1,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000476,5.24031432933371,JHH4,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000477,5.069100631922826,MALME3M,Melanoma,Skin,Melanoma
ACH-000478,2.8298495598446904,SNU387,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000479,6.358079723348917,KNS81,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000480,6.244887059123535,HUH7,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000481,5.359661722333877,NCIH2170,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000482,4.007195501404204,RERFLCKJ,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000483,5.116863757690899,SNU182,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000484,5.509062386361898,VMRCRCW,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000485,5.754353071692127,GSU,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000486,4.475084882948782,KU1919,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000487,5.580748491763774,F36P,Myelodysplastic Syndromes,Myeloid,Myelodysplastic Syndromes
ACH-000488,5.325890061039784,TE11,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000489,5.785812075358369,SW1116,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000490,6.327687364176047,SF767,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma
ACH-000491,3.4276061727818994,NCIH716,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000492,6.548282482376232,MUTZ5,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000493,6.1815001517046095,SNU423,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000494,5.604960869503778,OELE,Non-Cancerous,Ovary/Fallopian Tube,Non-Cancerous
ACH-000495,4.890933021705543,TUHR4TKB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000496,2.321928094887362,NCIH1792,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000498,5.285402218862249,KO52,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000499,6.001802242633985,EW8,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000500,6.336283387864432,SNU46,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000501,5.983221650742669,LS123,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000502,2.358958825832329,TCCPAN2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000503,2.935459747805289,BICR16,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000504,6.211596319969322,SNB75,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000505,5.612057559563064,RKN,Leiomyosarcoma,Soft Tissue,Leiomyosarcoma
ACH-000506,3.9945797242157473,NCIH146,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000507,5.446587085306882,KE39,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000508,5.6783536539741695,CORL88,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000509,3.234194722953812,HUT78,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms
ACH-000510,4.648465443027314,NCIH1299,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000511,1.752748591407134,CALU1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000512,5.08278773170927,INA6,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
